s 5.500000 -3.500000
f 1 18.500000 -6.500000
f 1 19.500000 -6.500000
f 1 20.500000 -6.500000
f 1 20.500000 -5.500000
f 1 20.500000 -4.500000
f 1 20.500000 -3.500000
f 1 19.500000 -3.500000
f 1 11.500000 -9.500000
f 1 11.500000 -10.500000
f 1 5.500000 -12.500000
f 1 5.500000 -13.500000
f 1 5.500000 -14.500000
f 1 6.500000 -14.500000
f 1 7.500000 -14.500000
f 1 8.500000 -14.500000
f 1 8.500000 -15.500000
f 1 8.500000 -16.500000
f 1 8.500000 -17.500000
f 1 9.500000 -17.500000
f 1 10.500000 -17.500000
f 1 11.500000 -17.500000
f 1 11.500000 -16.500000
f 1 11.500000 -15.500000
f 1 11.500000 -14.500000
f 1 12.500000 -14.500000
f 1 13.500000 -14.500000
f 1 14.500000 -14.500000
f 1 14.500000 -12.500000
f 1 14.500000 -13.500000
f 1 15.500000 -9.500000
f 1 16.500000 -9.500000
f 1 17.500000 -9.500000
f 1 17.500000 -10.500000
f 1 17.500000 -11.500000
f 1 17.500000 -12.500000
f 1 17.500000 -13.500000
f 1 17.500000 -14.500000
f 1 17.500000 -15.500000
f 1 17.500000 -16.500000
f 1 17.500000 -17.500000
f 1 16.500000 -17.500000
f 1 15.500000 -17.500000
f 1 14.500000 -17.500000
f 1 18.500000 -17.500000
f 1 19.500000 -17.500000
f 1 20.500000 -17.500000
f 1 20.500000 -16.500000
f 1 20.500000 -15.500000
f 1 21.500000 -15.500000
f 1 22.500000 -15.500000
f 1 22.500000 -14.500000
f 1 22.500000 -13.500000
f 1 22.500000 -12.500000
f 1 21.500000 -12.500000
f 1 20.500000 -12.500000
f 1 20.500000 -11.500000
f 1 20.500000 -10.500000
f 1 20.500000 -9.500000
f 1 21.500000 -9.500000
f 1 22.500000 -9.500000
f 1 22.500000 -8.500000
f 1 22.500000 -7.500000
f 1 22.500000 -6.500000
f 1 21.500000 -6.500000
f 1 14.500000 -18.500000
f 1 14.500000 -19.500000
f 1 14.500000 -20.500000
f 0 13.500000 -2.500000
f 0 14.500000 -2.500000
f 0 15.500000 -2.500000
f 0 16.500000 -2.500000
f 0 17.500000 -2.500000
f 0 18.500000 -2.500000
f 0 19.500000 -2.500000
f 0 20.500000 -2.500000
f 0 21.500000 -2.500000
f 0 21.500000 -3.500000
f 0 21.500000 -4.500000
f 0 21.500000 -5.500000
f 0 22.500000 -5.500000
f 0 23.500000 -5.500000
f 0 23.500000 -6.500000
f 0 23.500000 -7.500000
f 0 23.500000 -8.500000
f 0 23.500000 -9.500000
f 0 23.500000 -10.500000
f 0 22.500000 -10.500000
f 0 21.500000 -10.500000
f 0 21.500000 -11.500000
f 0 22.500000 -11.500000
f 0 23.500000 -11.500000
f 0 23.500000 -12.500000
f 0 23.500000 -13.500000
f 0 23.500000 -14.500000
f 0 23.500000 -15.500000
f 0 23.500000 -16.500000
f 0 22.500000 -16.500000
f 0 21.500000 -16.500000
f 0 21.500000 -17.500000
f 0 21.500000 -18.500000
f 0 20.500000 -18.500000
f 0 19.500000 -18.500000
f 0 18.500000 -18.500000
f 0 17.500000 -18.500000
f 0 16.500000 -18.500000
f 0 15.500000 -18.500000
f 0 15.500000 -19.500000
f 0 15.500000 -20.500000
f 0 15.500000 -21.500000
f 0 14.500000 -21.500000
f 0 13.500000 -21.500000
f 0 13.500000 -20.500000
f 0 13.500000 -19.500000
f 0 13.500000 -18.500000
f 0 13.500000 -17.500000
f 0 13.500000 -16.500000
f 0 14.500000 -16.500000
f 0 15.500000 -16.500000
f 0 16.500000 -16.500000
f 0 16.500000 -15.500000
f 0 16.500000 -14.500000
f 0 16.500000 -13.500000
f 0 16.500000 -12.500000
f 0 16.500000 -11.500000
f 0 16.500000 -10.500000
f 0 15.500000 -10.500000
f 0 15.500000 -11.500000
f 0 15.500000 -12.500000
f 0 15.500000 -13.500000
f 0 15.500000 -14.500000
f 0 15.500000 -15.500000
f 0 14.500000 -15.500000
f 0 13.500000 -15.500000
f 0 12.500000 -15.500000
f 0 12.500000 -16.500000
f 0 12.500000 -17.500000
f 0 12.500000 -18.500000
f 0 11.500000 -18.500000
f 0 10.500000 -18.500000
f 0 9.500000 -18.500000
f 0 8.500000 -18.500000
f 0 7.500000 -18.500000
f 0 7.500000 -17.500000
f 0 7.500000 -16.500000
f 0 7.500000 -15.500000
f 0 6.500000 -15.500000
f 0 5.500000 -15.500000
f 0 4.500000 -15.500000
f 0 4.500000 -14.500000
f 0 4.500000 -13.500000
f 0 4.500000 -12.500000
f 0 4.500000 -11.500000
f 0 4.500000 -10.500000
f 0 4.500000 -9.500000
f 0 4.500000 -8.500000
f 0 4.500000 -7.500000
f 0 6.500000 -7.500000
f 0 7.500000 -7.500000
f 0 7.500000 -8.500000
f 0 6.500000 -8.500000
f 0 6.500000 -9.500000
f 0 7.500000 -9.500000
f 0 8.500000 -9.500000
f 0 9.500000 -9.500000
f 0 10.500000 -9.500000
f 0 10.500000 -10.500000
f 0 9.500000 -10.500000
f 0 8.500000 -10.500000
f 0 7.500000 -10.500000
f 0 6.500000 -10.500000
f 0 8.500000 -5.500000
f 0 9.500000 -7.500000
f 0 10.500000 -7.500000
f 0 13.500000 -3.500000
f 0 13.500000 -4.500000
f 0 13.500000 -5.500000
f 0 13.500000 -6.500000
f 0 13.500000 -7.500000
f 0 13.500000 -8.500000
f 0 13.500000 -9.500000
f 0 13.500000 -10.500000
f 0 12.500000 -10.500000
f 0 12.500000 -9.500000
f 0 12.500000 -8.500000
f 0 12.500000 -7.500000
f 0 12.500000 -12.500000
f 0 13.500000 -12.500000
f 0 13.500000 -13.500000
f 0 12.500000 -13.500000
f 0 11.500000 -13.500000
f 0 10.500000 -13.500000
f 0 9.500000 -13.500000
f 0 8.500000 -13.500000
f 0 7.500000 -13.500000
f 0 6.500000 -13.500000
f 0 6.500000 -12.500000
f 0 7.500000 -12.500000
f 0 8.500000 -12.500000
f 0 9.500000 -12.500000
f 0 10.500000 -12.500000
f 0 11.500000 -12.500000
f 0 9.500000 -14.500000
f 0 10.500000 -14.500000
f 0 9.500000 -15.500000
f 0 10.500000 -15.500000
f 0 9.500000 -16.500000
f 0 10.500000 -16.500000
f 0 18.500000 -16.500000
f 0 19.500000 -16.500000
f 0 18.500000 -15.500000
f 0 19.500000 -15.500000
f 0 18.500000 -14.500000
f 0 19.500000 -14.500000
f 0 20.500000 -14.500000
f 0 21.500000 -14.500000
f 0 21.500000 -13.500000
f 0 20.500000 -13.500000
f 0 19.500000 -13.500000
f 0 18.500000 -13.500000
f 0 18.500000 -12.500000
f 0 19.500000 -12.500000
f 0 18.500000 -11.500000
f 0 19.500000 -11.500000
f 0 18.500000 -10.500000
f 0 19.500000 -10.500000
f 0 18.500000 -9.500000
f 0 19.500000 -9.500000
f 0 19.500000 -8.500000
f 0 19.500000 -7.500000
f 0 20.500000 -7.500000
f 0 21.500000 -7.500000
f 0 21.500000 -8.500000
f 0 20.500000 -8.500000
f 0 19.500000 -5.500000
f 0 18.500000 -5.500000
f 0 17.500000 -5.500000
f 0 16.500000 -5.500000
f 0 15.500000 -5.500000
f 0 15.500000 -4.500000
f 0 16.500000 -4.500000
f 0 17.500000 -4.500000
f 0 18.500000 -4.500000
f 0 19.500000 -4.500000
f 0 15.500000 -7.500000
f 0 16.500000 -7.500000
f 0 17.500000 -7.500000
f 0 18.500000 -7.500000
f 0 18.500000 -8.500000
f 0 17.500000 -8.500000
f 0 16.500000 -8.500000
f 0 15.500000 -8.500000
m 4.000000 -2.000000 22.000000 -2.000000
m 22.000000 -2.000000 22.000000 -5.000000
m 22.000000 -5.000000 24.000000 -5.000000
m 24.000000 -5.000000 24.000000 -17.000000
m 24.000000 -17.000000 22.000000 -17.000000
m 22.000000 -17.000000 22.000000 -19.000000
m 22.000000 -19.000000 16.000000 -19.000000
m 16.000000 -19.000000 16.000000 -22.000000
m 16.000000 -22.000000 13.000000 -22.000000
m 13.000000 -19.000000 7.000000 -19.000000
m 7.000000 -19.000000 7.000000 -16.000000
m 7.000000 -16.000000 4.000000 -16.000000
m 4.000000 -16.000000 4.000000 -2.000000
m 4.000000 -5.000000 10.000000 -5.000000
m 10.000000 -5.000000 10.000000 -7.000000
m 10.000000 -10.000000 7.000000 -10.000000
m 7.000000 -10.000000 7.000000 -8.000000
m 7.000000 -13.000000 13.000000 -13.000000
m 13.000000 -16.000000 13.000000 -22.000000
m 13.000000 -16.000000 16.000000 -16.000000
m 16.000000 -16.000000 16.000000 -11.000000
m 21.000000 -8.000000 16.000000 -8.000000
m 16.000000 -5.000000 19.000000 -5.000000
m 13.000000 -2.000000 13.000000 -10.000000
m 10.000000 -13.000000 10.000000 -15.000000
m 19.000000 -14.000000 20.000000 -14.000000
m 24.000000 -11.000000 23.000000 -11.000000
m 19.000000 -8.000000 19.000000 -16.000000
e octagon 17.500000 -17.500000 1.000000
e octagon 5.500000 -11.500000 1.000000
e octagon 20.500000 -6.500000 1.000000
e hexagon 21.000000 -14.000000 0.500000
e hexagon 10.000000 -16.000000 0.500000
e hexagon 22.000000 -11.000000 0.500000
e octagon 14.500000 -3.500000 1.000000
e octagon 8.500000 -7.500000 1.000000
e pentagon 11.500000 -6.500000 0.500000
e pentagon 14.500000 -13.500000 0.500000
e octagon 11.500000 -17.500000 1.000000
e square 20.500000 -3.500000 0.500000
e square 5.500000 -6.500000 0.500000
e square 5.500000 -14.500000 0.500000
e triangle 20.500000 -9.500000 0.500000
e triangle 20.500000 -12.500000 0.500000
e triangle 22.500000 -12.500000 0.500000
e triangle 22.500000 -15.500000 0.500000
e square 16.500000 -13.500000 0.500000
e square 18.500000 -13.500000 0.500000
e pentagon 17.500000 -13.500000 0.500000
e triangle 17.500000 -9.500000 0.500000
e triangle 11.500000 -11.500000 0.500000
e triangle 14.500000 -6.500000 0.500000
